speed,diff_time,lat,lat_1,long,long_1
7359.852133964282,4,45.469156324214,45.346938496257,45.502021181115,45.809154472177
7360.0747454906095,4,44.336895195063,44.206715858265,48.216196919833,48.510864283611
7360.237151345534,3,43.135433337425,43.032358582584,50.819156494149,51.031132316444
7360.49174680455,2,41.834132823172,41.761981290233,53.381599430294,53.516927977562
7360.740683945636,2,40.546124275125,40.47094455435,55.704022903166,55.833837562217
7361.143385350861,2,39.207163966324,39.129199054562,57.932004205786,58.056560594527
7361.319152548181,4,37.861606462327,37.700568961029,60.010261017525,60.249394126107
7361.51162890842,2,36.392711752338,36.309852467492,62.123314566032,62.238174352894
7361.760927185895,2,34.967166329558,34.882222746081,64.041195171589,64.151759632042
7362.16836425131,2,33.420745365572,33.33378247841,65.994768840673,66.101083407584
7362.258314222131,2,31.928260944384,31.839560096453,67.77179622848,67.874368656735
7362.500380333576,2,30.317119032499,30.226738493943,69.586442089032,69.685339766432
7362.815491853326,3,28.768900759069,28.631131293309,71.241684180932,71.385150783821
7362.925610202018,2,27.150603045895,27.057424997449,72.89072604372,72.983366590624
7363.111707104087,2,25.556853208506,25.462481168581,74.443523837072,74.533442488586
7363.377781537502,3,23.943702861646,23.800495067911,75.951867210266,76.082950243026
7363.434503324072,2,22.216532340601,22.120042092657,77.504664790746,77.589679970918
7363.561027404263,2,20.520353815169,20.422961012921,78.974651131259,79.057547927304
7363.807187151525,2,18.858263176809,18.760083190132,80.368771770379,80.449812878316
7363.730812436379,2,17.183508513387,17.084630248165,81.732845393049,81.812216897777
7363.774376610704,3,15.497498305341,15.348238252856,83.070027629433,83.186824810362
7363.937431812576,2,13.751550032915,13.651491350157,84.42164655718,84.498186031017
7363.77146464547,2,11.996466582476,11.895928429965,85.751170167283,85.826539259414
7363.719397939824,4,10.233569751454,10.031656794974,87.061670573891,87.210364355234
7363.657875890068,2,8.5437793861492,8.4425102157761,88.283183421048,88.356758791498
7363.633512984408,3,6.8199916445539,6.6676844911972,89.528506413089,89.637873981628
7363.373141201581,2,5.04135269782,4.9396134125868,90.800097113642,90.872498408893
7363.181019989468,2,3.3105898254589,3.2087132673422,92.027897067968,92.099945678082
7362.954512154152,2,1.5779840183484,1.4760311429197,93.250873672752,93.322716070802
7362.693746783502,2,-0.15543740210582,-0.25740617808842,94.471510479229,94.543292090828
7362.472558069738,4,-1.8886451470355,-2.0924915779659,95.692273222977,95.836016001764
7362.050692360645,2,-3.72243784285,-3.8242494471008,96.987729370823,97.059843171902
7361.68813528152,2,-5.4519770944447,-5.5536193256011,98.216543734351,98.289042624479
7361.442075901532,2,-7.1781407257697,-7.2795536463236,99.453088620253,99.526122642409
7360.869430156189,2,-8.8998691076458,-9.0009853303547,100.69991252342,100.77362991563
7360.401811721266,3,-10.666451886596,-10.817560568557,101.99688122529,102.10877734768
7360.053648263643,2,-12.425951161126,-12.526255592972,103.31039102322,103.38601092436
7359.397039763673,3,-14.127196563483,-14.276887103819,104.60504457056,104.72025642592
7358.849201048013,2,-15.868967412017,-15.968177214007,105.96000522593,106.03817689332
7358.376721464876,3,-17.599715488983,-17.747507251687,107.34067913333,107.46032656797
7357.68681008115,2,-19.317986972245,-19.415764962377,108.75038847144,108.83189066922
7357.095117203286,2,-20.97375492044,-21.070708872031,110.15090084699,110.23430824358
7356.569491451565,3,-22.662818214814,-22.806814566346,111.62811894445,111.75653430625
7355.834470308308,2,-24.33453315576,-24.429497192803,113.14510169448,113.23306761736
7355.207003224589,2,-25.940106141796,-26.033948029575,114.66055064479,114.7510581504
7354.671835639878,3,-27.525719089496,-27.664604644634,116.22100499159,116.36098423844
7353.8988262657585,2,-29.180668827501,-29.271839917027,117.92667677375,118.02314105664
7353.242680072371,2,-30.763705516015,-30.853340425049,119.64217785197,119.74200593559
7352.589384263823,2,-32.318654144091,-32.406604844694,121.41875488135,121.5222160283
7352.0589953018425,3,-33.799731760355,-33.928934706237,123.20758480801,123.3685570236
7351.322176186152,2,-35.291234217599,-35.375384336039,125.11867611362,125.23011611711
7350.713733483542,3,-36.704996149551,-36.827974346727,127.04749144798,127.22125726316
7350.102746122908,2,-38.120891386223,-38.200517930052,129.11235799008,129.23288166198
7349.5100704582455,2,-39.493183780861,-39.570203866431,131.26258202135,131.38812919133
7348.9388019806165,2,-40.817986916364,-40.89217043973,133.50292776556,133.63376335951
7348.554935874187,2,-42.05552629445,-42.126720854787,135.76980415489,135.90601346186
7347.886450553413,2,-43.274290316329,-43.342148788128,138.20049828153,138.3424440136
7347.395498934646,2,-44.432458363128,-44.496708465672,140.7331103846,140.88096628441
7347.097227153426,2,-45.494872336448,-45.555344867332,143.29337821298,143.44708930515
7346.535931379652,3,-46.490831712872,-46.575360365226,145.95358944037,146.19312586294
7346.135993242096,3,-47.46763003104,-47.545244671195,148.8793536079,149.12819454521
7345.93436016989,2,-48.335274867469,-48.382302189375,151.82990669655,152.00161055673
7345.486035927904,3,-49.095672032645,-49.1587036552,154.79310401747,155.05899511138
7345.218419318412,3,-49.788557219186,-49.843547119195,157.93795798761,158.21174934291
7344.983171349483,2,-50.416572490011,-50.447358273943,161.3583409853,161.5458191552
7344.909824762922,3,-50.894587609331,-50.932080924699,164.57830511668,164.86558390887
7344.753696595073,4,-51.283666839162,-51.321330674962,167.95775614247,168.34755147059
7344.593538704051,3,-51.571515677758,-51.590273154528,171.48741810229,171.78348434124
7344.557709019686,2,-51.739694814859,-51.74594375732,174.95484501019,175.15369224156
7344.717321572013,2,-51.796280384935,-51.796128014393,178.44021833402,178.63955971342
